Gene,logFC,pvalue
220306_at,-1.3153069999999998,0.002183017673809008
220338_at,-1.4665550000000005,0.01713956942551351
220369_at,-1.0404909999999998,0.0023685389324904827
220475_at,1.8293590000000004,0.031086560861572344
220494_s_at,-1.2305960000000002,0.003415910440476902
220577_at,-1.5510969999999995,0.02295696528760767
220615_s_at,-1.9869829999999995,0.01728662320060843
220704_at,-1.0785050000000007,0.03317764220127657
220892_s_at,2.5757980000000007,0.03441165828389185
221245_s_at,2.098947,0.0006705599585129353
221583_s_at,-2.3405739999999993,0.006406885742895364
221584_s_at,-2.6201930000000004,0.00566662019832509
221757_at,-1.021688000000002,0.019928993178209415
221760_at,-1.2990759999999995,0.03260000525248568
221879_at,1.0269900000000005,0.027631135346081748
221905_at,-1.0185230000000018,0.0009002984137520635
222025_s_at,2.2764240000000004,0.00010900612673842376
222234_s_at,-1.0099399999999998,0.04413251335826068
222288_at,1.760197999999999,0.013658083224090534
222579_at,1.0364000000000004,0.026406583083541508
222666_s_at,1.1087370000000005,0.04474724605055426
222731_at,-1.2350580000000004,0.037821169026015504
222858_s_at,-1.3443120000000004,0.0386066961373438
222859_s_at,-1.427217999999999,0.020945888377802972
222869_s_at,1.0383770000000005,0.03261512036586038
223062_s_at,2.7913549999999994,0.024722118141535635
223213_s_at,1.121302000000001,0.02563235909961837
223322_at,-1.3787230000000008,0.04484927713209164
223565_at,-1.829949000000001,0.040498044322503715
223611_s_at,-1.9758629999999995,0.014595744669453868
223822_at,2.0193510000000003,0.025557934586299406
224406_s_at,-1.455025,0.03221105514422894
224416_s_at,-1.0476869999999998,0.003231054748476075
224518_s_at,1.4084990000000008,0.004651336264317822
224829_at,-1.3310009999999988,0.0187573098641233
225095_at,-1.527724000000001,0.02963810701262336
225114_at,1.3207859999999991,0.025419081689047954
225380_at,1.5114299999999998,0.00908690082218832
225382_at,1.2344870000000014,0.0011853704070396676
225387_at,-1.6455549999999999,0.047122357650597115
225436_at,1.6596799999999998,0.01885737109262631
225491_at,1.703300000000001,0.03270749265424723
225502_at,-1.4153629999999975,0.023561338833320046
225685_at,1.1982630000000007,0.0437391430712738
225802_at,1.0362650000000002,0.027726046497275825
225809_at,-2.0694089999999994,0.009394947204069004
225912_at,-1.1621089999999992,0.04759864018518588
225914_s_at,-1.3945969999999992,0.011796619173916303
225915_at,-2.149318,0.0238129873838536
225931_s_at,-1.0213229999999989,0.04356569251228029
226021_at,2.1307550000000006,0.043519642763903896
226218_at,-2.072872000000002,0.025174094957705756
226382_at,-1.4589059999999998,0.017616861931565257
226489_at,-1.0122699999999996,0.025651698156699244
226679_at,-1.055591999999998,0.03572710080329006
226770_at,-1.1141239999999994,0.03287758721201753
226789_at,-1.4464870000000012,0.036287943629554786
226811_at,-2.1719430000000015,0.015859399358053836
226959_at,-1.0348610000000011,0.02757719612587226
227084_at,-1.9687740000000007,0.027354674804764806
227156_at,-1.1372960000000019,0.0046946720420420005
227224_at,-2.6294429999999984,0.009228649608063105
227232_at,-1.425542,0.00872048215471191
227309_at,1.3111950000000014,0.02200517202606222
227346_at,-1.8381810000000014,0.041161294259674
227356_at,1.1651059999999998,0.007139894561065657
227467_at,2.1805119999999985,0.036983054017832535
227533_at,-1.9832659999999995,0.0393903300322132
227552_at,-1.1014539999999995,0.021653018910468162
227677_at,-1.3853449999999992,0.0479466524360922
227750_at,-1.1782150000000011,0.022065227966012364
227829_at,1.2867640000000007,0.005567291165878268
227941_at,1.271808,0.018672877808419877
228027_at,1.077134,0.023427765072478967
228082_at,1.0002499999999994,0.04764849405944122
228167_at,-1.5678560000000008,0.012241855580887499
228221_at,-1.6894929999999997,0.005195670611608129
228415_at,-1.0500290000000003,0.0057141012391612196
228518_at,-1.1830409999999998,0.03189717041141793
228523_at,-1.9391559999999997,0.047281234353152644
228592_at,-2.7003429999999993,0.012046682136026157
228818_at,-1.2455960000000008,0.02486996459518991
228915_at,-1.7965740000000001,0.030089225118839796
229070_at,1.89859,0.03416673832307209
229130_at,-2.1061889999999996,0.00649427419083451
229256_at,-1.386171,0.047113821025829075
229385_s_at,-2.239801,0.006549862031019557
229580_at,-1.955887999999999,0.028164297373798743
229629_at,-1.5856660000000002,0.04888061548426907
229638_at,-1.1986769999999982,0.009842532027613165
229691_at,-1.0110960000000002,0.033220363400350554
229779_at,-1.285737999999999,0.004538913340994498
229860_x_at,-1.0567160000000007,0.009764865471188069
230102_at,1.2704360000000001,0.018696670597813214
230110_at,-1.5154430000000003,0.03249352306454299
230165_at,1.172834,0.011503465232276903
230391_at,-1.26802,0.039932458786481904
230480_at,1.351229,0.03519154857355143
230720_at,-1.3498189999999997,0.04537029915319319
230970_at,-1.6054119999999985,0.028018489050835267
